,Unnamed: 0,season,episode_number,episode_title,quote,author
24034,34209,6,17,Unagi,"I am so, so, so, so sorry!",Chandler
12509,20874,4,12,The Embryos,"Umm, yeah, uh-huh, theyre implanted.",Phoebe
37065,49710,9,3,The Pediatrician,That was not a security blanket! That was a wall-hanging!,Chandler
19562,29169,5,22,Joey`s Big Break,North route or south route?,Phoebe
226,257,1,1,Monica Gets A Roommate,Welcome to the real world! It sucks. You`re gonna love it!,Monica
15668,24647,5,4,Phoebe Hates PBS,I will find a selfless good deed! `Cause I just gave birth to three children and I will not let them be raised in a world where Joey is right!,Phoebe
38518,51908,9,12,Phoebe`s Rats,You do?,Rachel
28121,38993,7,11,All The Cheesecakes,I cant seem to say goodbye.,Chandler
7559,14640,3,13,Monica And Richard Are Just Friends,"Yeah, I know. I had the greatest day though, I got to sit in on the meeting with the reps from Calvin Klien. I told my boss I liked this line of lingerie, she ordered a ton of it. How was your day?",Rachel
17255,26473,5,12,Chandler`s Work Laugh,(thinks) I don`t know.,Joey
14117,22876,4,20,The Wedding Dresses,Its 6:00.,Chandler
35915,48356,8,22,Rachel Is Late,Can I get some of that action?,Ross
29392,40557,7,16,The Truth About London,"Nice. And by the way that uh, that line down my face?",Ross
6975,13920,3,10,Rachel Quits,"I dont know, I mean I would give anything to work for a designer, y`know, or a buyer.... Oh, I just dont want to be 30 and still work here.",Rachel
11285,19406,4,6,The Dirty Girl,"Hey, how`d it go? How`d she like the gift?",Chandler
10746,18734,4,4,The Ballroom Dancing,Have you ever taken out the trash? (Hands her the garbage.),Monica
21842,31636,6,7,Phoebe Runs,Oh!,Joey
40443,54162,9,22,The Donor,But you come first!,Chandler
37861,50736,9,7,Ross`s Inappropriate Song,Why in the world would you take this tape and and why would you watch it?,Monica
28935,39994,7,15,Joey`s New Brain,Shes my favorite character on DOOL.,Monica
42535,56817,10,7,The Home Study,Absolutely.,Rachel
21762,31551,6,7,Phoebe Runs,Yes I`m gonna put it back (Mocking Ross) exactly where I found it.,Chandler
19449,29044,5,21,The Ball,Not fun anymore?,Chandler
